Date,Open,High,Low,Close,Adj Close,Volume
2023-05-08,27.389999,27.990000,27.200001,27.920000,27.908915,56871
2023-05-09,27.690001,27.690001,27.299999,27.360001,27.349138,49310
2023-05-10,27.770000,27.820000,27.299999,27.719999,27.708992,81089
2023-05-11,27.740000,27.740000,27.110001,27.340000,27.329145,51906
2023-05-12,27.360001,27.990000,26.620001,27.090000,27.079245,53602
2023-05-15,27.280001,27.700001,26.980000,27.690001,27.679008,112378
2023-05-16,27.660000,28.540001,27.650000,27.959999,27.948898,296843
2023-05-17,28.299999,28.990000,28.240000,28.990000,28.978491,143388
2023-05-18,29.139999,31.000000,29.080000,30.350000,30.337950,217719
2023-05-19,30.180000,30.219999,29.629999,29.950001,29.938108,130088
2023-05-23,29.740000,29.950001,29.370001,29.410000,29.398321,191960
2023-05-24,28.950001,29.280001,28.540001,29.219999,29.208397,104379
2023-05-25,36.810001,37.750000,35.119999,36.330002,36.315578,590135
2023-05-26,36.330002,37.520000,36.009998,37.279999,37.265202,188211
2023-05-29,37.669998,38.790001,37.669998,38.049999,38.034893,128305
2023-05-30,38.919998,40.200001,38.270000,38.410000,38.394753,269644
2023-05-31,37.860001,38.490002,36.259998,36.299999,36.285591,332720
2023-06-01,36.830002,38.290001,36.689999,38.020000,38.004906,207689
2023-06-02,38.470001,38.750000,37.459999,37.720001,37.705025,142601
2023-06-05,37.270000,37.830002,37.080002,37.590000,37.575073,132247
2023-06-06,37.200001,37.419998,36.540001,37.070000,37.055279,148032
2023-06-07,37.290001,37.810001,35.799999,35.900002,35.889397,189056
2023-06-08,36.049999,37.200001,35.959999,36.900002,36.889099,221066
2023-06-09,37.410000,38.000000,36.950001,37.060001,37.049053,190635
2023-06-12,37.560001,37.810001,36.990002,37.810001,37.798824,170883
2023-06-13,38.430000,39.320000,38.049999,39.250000,39.238407,387652
2023-06-14,39.029999,41.150002,38.860001,41.150002,41.137844,337017
2023-06-15,40.840000,41.400002,40.369999,40.779999,40.767952,233961
2023-06-16,41.709999,41.750000,40.849998,40.849998,40.837925,326436
2023-06-19,41.090000,41.090000,40.500000,40.869999,40.857925,42314
2023-06-20,40.869999,42.110001,40.500000,41.950001,41.937603,206840
2023-06-21,41.700001,41.700001,40.270000,41.230000,41.217819,155093
2023-06-22,40.380001,41.509998,40.380001,41.150002,41.137844,86352
2023-06-23,40.660000,40.930000,40.259998,40.360001,40.348076,85097
